Product Name,Brand,Description,Price,Currency,URL,Image,Country,Promo,Code,Scraped At
KIDS Raspberry,MEDIBLANC,dentifrice pour enfants Rapsberry 50 ml,"7,40",€,/mediblanc/kids-rapsberry-dentifrice-pour-enfants/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533123_01-o__220114.jpg,https://www.notino.be,-30 %,baby,2024-06-01 14:43:25
Whitening,Opalescence,dentifrice blanchissant au fluorure,"4,00",€,/opalescence/original-formula-dentifrice-blanchissant-au-fluorure/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Extreme Whitening,Swissdent,dentifrice blancheur intense,"12,90",€,/swissdent/extreme-whitening-dentifrice-blancheur-intense/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190037_01-o__121205.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Expert Black Whitening,Ecodenta,dentifrice blanchissant au charbon noir sans fluorure,"5,50",€,/ecodenta/expert-extra-dentifrice-blanchissant-au-charbon-noir/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Whitening Mint,Marvis,dentifrice effet blancheur,"5,40",€,/marvis/whitening-mint-dentifrice-effet-blancheur/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Classic,Parodontax,dentifrice anti-saignement des gencives sans fluorure,"4,30",€,/parodontax/classic-dentifrice-anti-saignement-des-gencives-sans-fluorure-80254/,https://cdn.notinoimg.com/list_2k//parodontax/4047400392041_01-o__140428.jpg,https://www.notino.be,,,2024-06-01 14:43:25
Extra Fresh,Parodontax,dentifrice contre les saignements de gencives,"4,90",€,/parodontax/extra-fresh-dentifrice-contre-les-saignements-de-gencives-80292/,https://cdn.notinoimg.com/list_2k//parodontax/3830029294626_01__140428.jpg,https://www.notino.be,,,2024-06-01 14:43:25
Caries Protection,Elmex,dentifrice anti-carie au fluorure,"6,40",€,/elmex/caries-protection-dentifrice-anti-carie-au-fluorure/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Opti-namel Seal & Strengthen,Elmex,dentifrice qui protège l'émail dentaire,"6,20",€,/elmex/opti-namel-seal-strengthen-dentifrice-qui-protege-lemail-dentaire/,https://cdn.notinoimg.com/list_2k//elmex/7610108054824_01-o__230215.jpg,https://www.notino.be,,,2024-06-01 14:43:25
The Mints Classic Strong,Marvis,dentifrice,"3,40",€,/marvis/classic-strong-mint-dentifrice/,https://cdn.notinoimg.com/list_2k//marvis/8004395111701_01-o__171120.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
The Mints Cinnamon,Marvis,dentifrice,"2,40",€,/marvis/cinnamon-mint-dentifrice/,https://cdn.notinoimg.com/list_2k//marvis/8004395111763_01-o__171120.jpg,https://www.notino.be,,,2024-06-01 14:43:25
Tooth Mousse,GC,crème protectrice reminéralisante pour dents sensibles sans fluorure,"18,90",€,/gc/tooth-mousse-tutti-frutti-creme-protectrice-remineralisante-pour-dents-sensibles-sans-fluorure/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Sensitive Whitening,Elmex,dentifrice pour des dents naturellement blanches,"5,30",€,/elmex/sensitive-whitening-dentifrice-pour-des-dents-naturellement-blanches/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg,https://www.notino.be,,,2024-06-01 14:43:25
Max White Luminous,Colgate,dentifrice pour des dents éclatantes de blancheur,"4,10",€,/colgate/max-white-luminous-dentifrice-pour-des-dents-eclatantes-de-blancheur/,https://cdn.notinoimg.com/list_2k//colgate/8714789867274_01-o__221128.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
Triple Action Original Mint,Colgate,dentifrice,"1,50",€,/colgate/triple-action-duopack-dentifrice/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
White Now Men Super Pure,Signal,dentifrice pour homme effet blancheur 75 ml,"4,60",€,/signal/white-now-men-super-pure-dentifrice-pour-homme-effet-blancheur/,https://cdn.notinoimg.com/list_2k//signal/8710908135835_01-o__230216.jpg,https://www.notino.be,-15 %,sale,2024-06-01 14:43:25
