Product Name,Brand,Description,Price,Currency,URL,Image,Country,Promo,Code,Scraped At,Price_After_Discount
KIDS Raspberry,MEDIBLANC,dentifrice pour enfants Rapsberry 50 ml,7.4,€,/mediblanc/kids-rapsberry-dentifrice-pour-enfants/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533123_01-o__220114.jpg,https://www.notino.be,30.0,baby,2024-05-31 21:36:55,5.18
Tooth Mousse,GC,crème protectrice reminéralisante pour dents sensibles sans fluorure,18.9,€,/gc/tooth-mousse-tutti-frutti-creme-protectrice-remineralisante-pour-dents-sensibles-sans-fluorure/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,16.064999999999998
Whitening,Opalescence,dentifrice blanchissant au fluorure,4.1,€,/opalescence/original-formula-dentifrice-blanchissant-au-fluorure/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,3.485
MI Paste Plus,GC,crème protectrice reminéralisante pour dents sensibles au fluorure,19.7,€,/gc/mi-paste-plus-strawberry-creme-protectrice-remineralisante-pour-dents-sensibles-au-fluorure/,https://cdn.notinoimg.com/list_2k//gc/2800011987264_01-o__160323.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,16.744999999999997
Whitening Mint,Marvis,dentifrice effet blancheur,5.4,€,/marvis/whitening-mint-dentifrice-effet-blancheur/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,4.59
Max Clean Mineral Scrub,Colgate,gel dentifrice pour une haleine fraîche Tingling Mint 75 ml,2.5,€,/colgate/max-clean-mineral-scrub-gel-dentifrice-pour-une-haleine-fraiche/,https://cdn.notinoimg.com/list_2k//colgate/8718951327085_01-o__200602.jpg,https://www.notino.be,,,2024-05-31 21:36:55,
Polar Night,Natura Siberica,dentifrice blanchissant au charbon noir 100 g,4.0,€,/natura-siberica/polar-night-dentifrice-blanchissant-au-charbon-noir/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174432253_01-o__180801.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,3.4
Integral 8 Natural Elements,Signal,dentifrice,2.1,€,/signal/integral-8-natural-elements-dentifrice/,https://cdn.notinoimg.com/list_2k//signal/8710447328095_01-o__221019.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,1.7850000000000001
Whitening Smokers Mint,Marvis,dentifrice blanchissant pour les fumeurs,12.0,€,/marvis/smokers-whitening-mint-dentifrice-blanchissant-pour-les-fumeurs/,https://cdn.notinoimg.com/list_2k//marvis/8004395111817_01-o__200211.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,10.2
Triple Action Original Mint,Colgate,dentifrice,1.5,€,/colgate/triple-action-duopack-dentifrice/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg,https://www.notino.be,15.0,sale,2024-05-31 21:36:55,1.275
